sub,stim,trial,choice,fb
409,2,11,0,1
409,4,12,1,1
409,2,13,0,1
409,4,14,1,0
409,3,15,1,1
409,1,16,0,0
409,3,17,1,1
409,1,18,0,1
409,3,19,1,0
409,1,20,0,1
409,4,21,1,1
409,1,22,0,1
409,3,23,1,1
409,4,24,1,1
409,3,25,1,1
409,1,26,0,1
409,4,27,1,1
409,3,28,1,1
409,4,29,1,0
409,2,30,0,1
409,3,31,1,1
409,4,32,1,1
409,2,33,0,1
409,1,34,0,1
409,4,35,1,1
409,2,36,0,1
409,4,37,1,1
409,2,38,0,1
409,3,39,1,1
409,1,40,0,1
409,4,41,1,1
409,1,42,0,0
409,4,43,1,1
409,2,44,0,0
409,3,45,1,1
409,1,46,0,1
409,3,47,1,1
409,1,48,0,1
409,3,49,1,1
409,2,50,0,0
409,3,51,1,1
409,2,52,0,1
409,4,53,1,0
409,2,54,0,1
409,1,55,0,0
409,4,56,1,1
409,2,57,0,1
409,1,58,0,1
409,3,59,1,0
409,1,60,0,1
409,2,61,0,1
409,4,62,1,1
409,2,63,0,1
409,1,64,0,1
409,4,65,1,1
409,1,66,0,1
409,4,67,1,0
409,1,68,0,0
409,3,69,1,1
409,4,70,1,1
409,2,71,0,0
409,1,72,0,1
409,2,73,0,1
409,3,74,1,1
409,2,75,0,1
409,3,76,1,1
409,1,77,0,1
409,3,78,1,1
409,1,79,0,0
409,3,80,1,1
409,2,81,0,1
409,1,82,0,1
409,3,83,1,0
409,4,84,1,1
409,1,85,0,1
409,3,86,1,1
409,4,87,1,1
409,2,88,0,0
409,4,89,1,1
409,2,90,0,1
409,3,91,1,1
409,2,92,0,1
409,4,93,1,1
409,2,94,0,1
409,3,95,1,0
409,4,96,1,0
409,2,97,0,1
409,3,98,1,1
409,4,99,1,1
409,1,100,0,1
409,3,101,1,1
409,2,102,0,0
409,1,103,0,1
409,3,104,1,1
409,1,105,0,1
409,4,106,1,1
409,1,107,0,0
409,3,108,1,1
409,4,109,1,1
409,1,110,0,1
409,2,111,0,1
409,4,112,1,0
409,3,113,1,1
409,2,114,0,1
409,4,115,1,1
409,3,116,1,0
409,1,117,0,1
409,4,118,1,1
409,1,119,0,1
409,2,120,0,1
410,2,1,0,1
410,1,2,0,1
410,2,3,1,1
410,3,4,0,1
410,4,5,1,1
410,2,6,NaN,NaN
410,4,7,1,1
410,3,8,0,0
410,2,9,0,1
410,1,10,1,0
410,2,11,0,1
410,4,12,1,1
410,2,13,1,0
410,4,14,1,0
410,3,15,0,0
410,1,16,0,0
410,3,17,1,1
410,1,18,1,0
410,3,19,1,0
410,1,20,0,1
410,4,21,0,0
410,1,22,0,1
410,3,23,0,0
410,4,24,0,0
410,3,25,1,1
410,1,26,1,0
410,4,27,0,0
410,3,28,1,1
410,4,29,0,1
410,2,30,1,0
410,3,31,0,0
410,2,32,1,0
410,4,33,1,1
410,2,34,0,1
410,3,35,1,0
410,4,36,1,0
410,2,37,1,0
410,3,38,1,1
410,4,39,0,0
410,1,40,0,1
410,3,41,1,1
410,2,42,1,1
410,1,43,1,0
410,3,44,0,0
410,1,45,1,0
410,4,46,1,1
410,1,47,0,0
410,3,48,0,0
410,4,49,1,1
410,1,50,1,0
410,2,51,1,0
410,4,52,1,0
410,3,53,0,0
410,2,54,1,0
410,4,55,0,0
410,3,56,0,1
410,1,57,0,1
410,4,58,1,1
410,1,59,1,0
410,2,60,1,0
410,2,61,0,1
410,4,62,1,1
410,2,63,0,1
410,1,64,0,1
410,4,65,1,1
410,1,66,0,1
410,4,67,1,0
410,1,68,1,1
410,3,69,0,0
410,4,70,NaN,NaN
410,2,71,1,1
410,1,72,0,1
410,2,73,1,0
410,3,74,1,1
410,2,75,0,1
410,3,76,0,0
410,1,77,1,0
410,3,78,1,1
410,1,79,1,1
410,3,80,0,0
410,2,81,0,1
410,1,82,0,1
410,3,83,0,1
410,4,84,0,0
410,1,85,0,1
410,3,86,0,0
410,4,87,1,1
410,2,88,0,0
410,4,89,1,1
410,2,90,1,0
410,3,91,NaN,NaN
410,4,92,1,1
410,2,93,0,1
410,1,94,0,1
410,4,95,1,1
410,2,96,0,1
410,4,97,1,1
410,2,98,0,1
410,3,99,1,1
410,1,100,0,1
410,4,101,1,1
410,1,102,0,0
410,4,103,0,0
410,2,104,0,0
410,3,105,0,0
410,1,106,1,0
410,3,107,1,1
410,1,108,0,1
410,3,109,1,1
410,2,110,1,1
410,3,111,1,1
410,2,112,1,0
410,4,113,1,0
410,2,114,0,1
410,1,115,0,0
410,4,116,0,0
410,2,117,0,1
410,1,118,1,0
410,3,119,1,0
410,1,120,1,0
411,1,1,1,1
411,4,2,1,0
411,3,3,0,0
411,4,4,1,0
411,1,5,1,0
411,3,6,1,0
411,4,7,1,0
411,1,8,0,0
411,3,9,1,1
411,2,10,0,1
411,1,11,0,0
411,4,12,1,1
411,2,13,0,1
411,1,14,1,1
411,2,15,0,1
411,3,16,1,1
411,2,17,0,0
411,1,18,1,1
411,3,19,1,1
411,2,20,1,0
411,4,21,0,1
411,3,22,1,0
411,1,23,1,1
411,4,24,1,0
411,3,25,0,0
411,1,26,1,0
411,2,27,0,1
411,3,28,1,1
411,2,29,1,0
411,4,30,0,1
411,4,31,0,1
411,3,32,1,1
411,4,33,0,1
411,2,34,0,1
411,3,35,1,1
411,2,36,0,1
411,3,37,1,0
411,2,38,0,0
411,1,39,0,0
411,3,40,0,0
411,4,41,0,0
411,2,42,1,0
411,4,43,0,1
411,1,44,0,0
411,4,45,0,1
411,1,46,0,0
411,2,47,0,1
411,1,48,1,1
411,2,49,1,1
411,1,50,0,0
411,4,51,0,1
411,2,52,1,0
411,1,53,0,1
411,3,54,1,1
411,2,55,0,1
411,1,56,0,0
411,3,57,1,1
411,4,58,0,0
411,3,59,1,1
411,4,60,0,1
411,1,61,0,0
411,3,62,1,1
411,4,63,0,1
411,2,64,1,0
411,3,65,1,1
411,4,66,0,1
411,3,67,1,1
411,4,68,0,1
411,1,69,1,1
411,2,70,0,1
411,3,71,1,1
411,2,72,0,0
411,3,73,1,1
411,4,74,0,0
411,1,75,1,1
411,2,76,1,0
411,1,77,1,1
411,2,78,0,1
411,1,79,1,1
411,4,80,0,0
411,1,81,1,1
411,4,82,0,1
411,3,83,1,0
411,4,84,0,1
411,2,85,1,1
411,3,86,1,1
411,4,87,0,1
411,2,88,1,0
411,1,89,0,1
411,2,90,1,0
411,4,91,0,1
411,2,92,1,0
411,4,93,0,0
411,1,94,1,0
411,3,95,1,1
411,4,96,0,1
411,3,97,1,1
411,1,98,1,1
411,4,99,0,1
411,2,100,0,1
411,4,101,0,1
411,3,102,1,1
411,4,103,0,1
411,3,104,1,0
411,1,105,1,1
411,2,106,0,0
411,1,107,1,1
411,2,108,0,1
411,1,109,1,0
411,2,110,0,1
411,3,111,1,1
411,2,112,0,1
411,1,113,1,1
411,3,114,1,1
411,1,115,1,1
411,2,116,0,1
411,3,117,1,1
411,1,118,1,1
411,3,119,1,0
411,4,120,0,1
412,1,1,0,0
412,4,2,1,0
412,3,3,1,1
412,4,4,1,0
412,1,5,1,0
412,3,6,1,0
412,4,7,0,1
412,1,8,0,0
412,3,9,1,1
412,2,10,0,1
412,1,11,0,0
412,4,12,1,1
412,2,13,0,1
412,1,14,0,0
412,2,15,1,0
412,3,16,1,1
412,2,17,0,0
412,1,18,0,0
412,3,19,1,1
412,2,20,1,0
412,4,21,0,1
412,3,22,0,1
412,1,23,1,1
412,4,24,1,0
412,3,25,1,1
412,1,26,0,1
412,2,27,0,1
412,3,28,0,0
412,2,29,1,0
412,4,30,0,1
412,4,31,0,1
412,2,32,0,1
412,4,33,0,0
412,1,34,1,0
412,3,35,1,1
412,4,36,1,0
412,3,37,0,0
412,1,38,0,0
412,4,39,1,0
412,2,40,1,0
412,4,41,0,1
412,3,42,0,0
412,4,43,0,1
412,3,44,0,1
412,1,45,0,0
412,2,46,1,1
412,1,47,0,0
412,2,48,0,1
412,1,49,0,1
412,2,50,0,1
412,3,51,0,0
412,2,52,1,0
412,1,53,0,0
412,3,54,1,1
412,1,55,0,0
412,2,56,1,0
412,3,57,0,0
412,1,58,1,1
412,3,59,0,1
412,4,60,1,0
412,1,61,0,0
412,3,62,1,1
412,4,63,1,0
412,2,64,1,0
412,3,65,0,0
412,4,66,1,0
412,3,67,0,0
412,4,68,1,0
412,1,69,0,0
412,2,70,1,0
412,3,71,0,0
412,2,72,1,1
412,3,73,1,1
412,4,74,1,1
412,1,75,1,1
412,2,76,1,0
412,1,77,0,0
412,2,78,0,1
412,1,79,1,1
412,4,80,0,0
412,1,81,1,1
412,4,82,NaN,NaN
412,3,83,1,0
412,4,84,0,1
412,2,85,1,1
412,3,86,1,1
412,4,87,0,1
412,2,88,0,1
412,1,89,1,0
412,2,90,0,1
412,4,91,1,0
412,3,92,1,1
412,4,93,0,1
412,2,94,0,1
412,3,95,1,1
412,2,96,0,1
412,3,97,0,1
412,2,98,0,0
412,1,99,1,1
412,3,100,0,0
412,4,101,1,1
412,2,102,1,0
412,4,103,0,1
412,1,104,0,0
412,4,105,0,1
412,1,106,0,0
412,2,107,1,0
412,1,108,1,1
412,2,109,1,1
412,1,110,1,1
412,4,111,1,0
412,2,112,0,1
412,1,113,0,1
412,3,114,0,0
412,2,115,0,1
412,1,116,0,0
412,3,117,1,1
412,4,118,1,1
412,3,119,1,1
412,4,120,0,1
413,1,1,1,0
413,2,2,0,0
413,1,3,0,1
413,3,4,0,1
413,2,5,1,1
413,3,6,0,1
413,2,7,1,0
413,3,8,0,0
413,4,9,0,0
413,2,10,0,0
413,1,11,0,0
413,3,12,1,0
413,1,13,1,0
413,4,14,1,1
413,1,15,0,1
413,4,16,0,0
413,3,17,1,0
413,4,18,1,1
413,3,19,1,1
413,4,20,1,1
413,1,21,0,1
413,3,22,1,0
413,4,23,1,0
413,2,24,1,1
413,3,25,0,1
413,4,26,0,0
413,2,27,1,1
413,1,28,0,0
413,2,29,0,0
413,1,30,1,0
413,4,31,1,1
413,2,32,1,1
413,1,33,0,1
413,3,34,1,0
413,2,35,1,1
413,1,36,0,1
413,2,37,1,1
413,1,38,0,1
413,4,39,0,0
413,3,40,0,1
413,2,41,1,1
413,3,42,0,0
413,2,43,1,1
413,1,44,0,0
413,4,45,1,1
413,3,46,0,1
413,4,47,1,1
413,3,48,0,1
413,4,49,1,1
413,1,50,0,0
413,4,51,1,1
413,1,52,1,0
413,2,53,1,0
413,1,54,0,1
413,3,55,0,0
413,2,56,0,0
413,1,57,1,0
413,3,58,1,0
