Sub	Run	Trial	OldT	Delay	LuckyDeck	ObjPP	OldObjLuckyDeck	ObjDeckMatch	Outcome	Resp	RT	DeckC	LuckyDeckC	OldObjC	RevT	OldDeckPP	OldDeck	EncRevT	Enc_Pay1	OptObj	PP	StayResp
27	4	228	0	NaN	1	NaN	NaN	NaN	0	2	1199.75898301345	1	1	NaN	3	NaN	NaN	NaN	NaN	NaN	1	1
27	4	229	0	NaN	1	NaN	NaN	NaN	0	2	948.158926999895	2	0	NaN	4	NaN	NaN	NaN	NaN	NaN	0	0
27	4	230	1	19	1	0.4	1	0	0.6	1	881.811810977524	1	1	0	5	0	2	2	0.2	1	0	0
27	4	231	0	NaN	1	NaN	NaN	NaN	0.4	1	1031.70051399502	1	1	NaN	6	NaN	NaN	NaN	NaN	NaN	0.6	1
27	4	232	0	NaN	1	NaN	NaN	NaN	0.6	1	1173.55289400439	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	0.4	1
27	4	233	1	12	1	0	0	1	0	2	1314.77172201267	1	1	1	8	0.6	1	12	NaN	0	0.6	1
27	4	234	0	NaN	1	NaN	NaN	NaN	1	1	1072.83072799328	1	1	NaN	9	NaN	NaN	NaN	NaN	NaN	0	1
27	4	235	0	NaN	1	NaN	NaN	NaN	0.2	2	1417.2908589826	2	0	NaN	10	NaN	NaN	NaN	NaN	NaN	1	0
27	4	236	0	NaN	1	NaN	NaN	NaN	0.6	1	1194.31119799265	1	1	NaN	11	NaN	NaN	NaN	NaN	NaN	0.2	0
27	4	237	0	NaN	1	NaN	NaN	NaN	0.8	2	954.709690995514	1	1	NaN	12	NaN	NaN	NaN	NaN	NaN	0.6	1
27	4	238	0	NaN	1	NaN	NaN	NaN	0.6	2	694.947377982317	2	0	NaN	13	NaN	NaN	NaN	NaN	NaN	0.8	0
27	4	239	1	10	1	0	1	0	0	1	839.518666994991	2	0	1	14	0.6	2	4	0	0	0.6	1
27	4	240	1	13	1	1	0	0	1	2	767.214905994479	1	1	1	15	0.8	1	2	1	1	0	0
27	5	241	0	NaN	1	NaN	NaN	NaN	1	1	886.733545019524	1	1	NaN	16	NaN	NaN	NaN	NaN	NaN	1	1
27	5	242	0	NaN	1	NaN	NaN	NaN	0.2	1	1234.65422599111	2	0	NaN	17	NaN	NaN	NaN	NaN	NaN	1	0
27	5	243	0	NaN	1	NaN	NaN	NaN	0.4	1	870.670541014988	2	0	NaN	18	NaN	NaN	NaN	NaN	NaN	0.2	1
27	5	244	1	25	2	0.2	1	0	NaN	NaN	NaN	NaN	NaN	0	1	1	1	10	0.8	1	0.4	0
27	5	245	1	17	2	0	1	0	0	1	717.876807000721	1	0	1	2	1	1	3	1	0	NaN	0
